==============================================================================  ==========================================================================================================================  =========  =====================================
Name                                                                            Path                                                                                                                        State      Last time runned
==============================================================================  ==========================================================================================================================  =========  =====================================
Adobe Acrobat Update Task                                                       \Adobe Acrobat Update Task                                                                                                  Completed  2020-01-22 22:04:57 (Central EU Time)
Bitdefender AgentTask_AD394AE64E874073B10A89FEEC305A3C                          \Bitdefender AgentTask_AD394AE64E874073B10A89FEEC305A3C                                                                     Running    2020-01-22 15:05:22 (Central EU Time)
OneDrive Standalone Update Task-S-1-5-21-1548864068-3946319175-3847660121-1001  \OneDrive Standalone Update Task-S-1-5-21-1548864068-3946319175-3847660121-1001                                             Completed  2020-01-22 14:11:15 (Central EU Time)
WinZip Update Notifier 1                                                        \WinZip Update Notifier 1                                                                                                   Completed  2020-01-22 15:00:56 (Central EU Time)
WinZip Update Notifier 2                                                        \WinZip Update Notifier 2                                                                                                   Completed  2020-01-22 15:00:56 (Central EU Time)
WinZip Update Notifier 3                                                        \WinZip Update Notifier 3                                                                                                   Completed  2020-01-22 15:27:00 (Central EU Time)
AppleSoftwareUpdate                                                             \Apple\AppleSoftwareUpdate                                                                                                  Completed  2020-01-22 17:47:00 (Central EU Time)
WarrantyChecker                                                                 \Hewlett-Packard\HP Support Assistant\WarrantyChecker                                                                       Completed  1999-11-30 00:00:00 (Central EU Time)
WarrantyChecker_DeviceScan                                                      \Hewlett-Packard\HP Support Assistant\WarrantyChecker_DeviceScan                                                            Completed  1999-11-30 00:00:00 (Central EU Time)
Office Automatic Updates 2.0                                                    \Microsoft\Office\Office Automatic Updates 2.0                                                                              Completed  2020-01-22 17:53:49 (Central EU Time)
Office ClickToRun Service Monitor                                               \Microsoft\Office\Office ClickToRun Service Monitor                                                                         Completed  2020-01-22 12:44:49 (Central EU Time)
Office Feature Updates                                                          \Microsoft\Office\Office Feature Updates                                                                                    Completed  2020-01-22 22:07:59 (Central EU Time)
Office Feature Updates Logon                                                    \Microsoft\Office\Office Feature Updates Logon                                                                              Completed  2020-01-22 22:20:06 (Central EU Time)
Office Subscription Maintenance                                                 \Microsoft\Office\Office Subscription Maintenance                                                                           Completed  2020-01-22 12:44:49 (Central EU Time)
OfficeBackgroundTaskHandlerLogon                                                \Microsoft\Office\OfficeBackgroundTaskHandlerLogon                                                                          Completed  2020-01-22 16:34:53 (Central EU Time)
OfficeBackgroundTaskHandlerRegistration                                         \Microsoft\Office\OfficeBackgroundTaskHandlerRegistration                                                                   Completed  2020-01-13 10:34:37 (Central EU Time)
OfficeTelemetryAgentFallBack2016                                                \Microsoft\Office\OfficeTelemetryAgentFallBack2016                                                                          Completed  2020-01-22 15:34:22 (Central EU Time)
OfficeTelemetryAgentLogOn2016                                                   \Microsoft\Office\OfficeTelemetryAgentLogOn2016                                                                             Completed  2020-01-22 15:04:21 (Central EU Time)
XblGameSaveTask                                                                 \Microsoft\XblGameSave\XblGameSaveTask                                                                                      Completed  1999-11-30 00:00:00 (Central EU Time)
AD RMS Rights Policy Template Management (Automated)                            \Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)  Disabled   1999-11-30 00:00:00 (Central EU Time)
AD RMS Rights Policy Template Management (Manual)                               \Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)     Completed  1999-11-30 00:00:00 (Central EU Time)
PolicyConverter                                                                 \Microsoft\Windows\AppID\PolicyConverter                                                                                    Disabled   1999-11-30 00:00:00 (Central EU Time)
VerifiedPublisherCertStoreCheck                                                 \Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck                                                                    Disabled   1999-11-30 00:00:00 (Central EU Time)
Microsoft Compatibility Appraiser                                               \Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser                                                 Completed  2020-01-22 15:03:40 (Central EU Time)
ProgramDataUpdater                                                              \Microsoft\Windows\Application Experience\ProgramDataUpdater                                                                Completed  2020-01-22 16:34:54 (Central EU Time)
StartupAppTask                                                                  \Microsoft\Windows\Application Experience\StartupAppTask                                                                    Completed  2020-01-22 16:34:54 (Central EU Time)
appuriverifierdaily                                                             \Microsoft\Windows\ApplicationData\appuriverifierdaily                                                                      Completed  2020-01-22 13:15:13 (Central EU Time)
appuriverifierinstall                                                           \Microsoft\Windows\ApplicationData\appuriverifierinstall                                                                    Completed  2020-01-22 14:47:28 (Central EU Time)
CleanupTemporaryState                                                           \Microsoft\Windows\ApplicationData\CleanupTemporaryState                                                                    Completed  2020-01-17 14:42:42 (Central EU Time)
DsSvcCleanup                                                                    \Microsoft\Windows\ApplicationData\DsSvcCleanup                                                                             Completed  2020-01-22 16:34:54 (Central EU Time)
Proxy                                                                           \Microsoft\Windows\Autochk\Proxy                                                                                            Completed  2020-01-22 17:16:57 (Central EU Time)
